Gene Name,Time,value
SPAC1F8.04C,0,0.9921194074999999
SPCC663.08C,0,0.9997311149999999
SPBC609.04,0,0.9925115
SPCC663.06c,0,0.9977578275000001
SPBC409.13,0,0.9907652025
SPBC359.02,0,0.9984574875000001
SPCC18B5.02c,0,0.9987483400000001
SPBC3F6.03,0,0.996122475
SPCC576.02,0,0.9989106399999998
SPAC513.06c,0,0.99921915
SPCC24B10.20,0,0.9963220399999999
SPCC550.10,0,0.9906309875
SPBC16A3.17c,0,0.9992304324999999
SPCC1450.13c,0,0.999428805
SPBC1604.01,0,0.9984195874999999
SPAC1F7.12,0,0.9988886575
SPCC18B5.01c,0,0.9982885499999999
SPAC22G7.08,0,0.9981263499999999
SPAC23G3.03,0,0.9982330575
SPCC1281.07c,0,0.995266875
SPAC1B3.15c,0,0.9997558425000002
SPAC3C7.14c,0,0.9973346249999999
SPBC1652.01,0,0.9972371449999999
SPBC17D11.03c,0,0.9975487075
SPAPB8E5.04c,0,0.9926676350000001
SPBC25D12.04,0,0.99621329
SPAC29B12.14c,0,0.9942194025
SPCC1223.09,0,0.9997613949999999
SPAC30.01c,0,0.99884525
SPAC1B3.06c,0,0.9974721175000001
SPAC3C7.02c,0,0.9983595275
SPBC21B10.12,0,0.9950717649999999
SPAC6G10.03c,0,0.9969197974999999
SPACUNK4.10,0,0.99663895
SPAC222.08c,0,0.9963443475
SPAC2E1P3.04,0,0.99952189
SPAC21E11.04,0,0.9987854125
SPCC663.07c,0,0.9960097225
SPAC9.10,0,0.9937931950000001
SPBC947.06c,0,0.9976349375
SPBC1271.05c,0,0.9985057175000001
SPBC725.01,0,0.995812765
SPBC409.12c,0,0.971839085
SPAC23G3.02c,0,0.9969520999999999
SPAC1F3.09,0,0.9977707625000001
SPBC29A3.01,0,0.997395385
SPBC359.05,0,0.9985948725000001
SPAC11E3.09,0,0.998241525
SPBC3H7.09,0,0.997038365
SPAC227.18,0,0.9999184099999999
SPAC2E12.03c,0,0.9987077249999999
SPBC887.15c,0,0.999043925
SPCC4F11.04c,0,0.9978449325000001
SPAC869.02c,0,0.99770329
SPAC56E4.03,0,0.9986298225
SPBC19C2.04c,0,0.9936988375
SPAC1F8.04C,5,2.361127125
SPCC663.08C,5,3.1766578500000002
SPBC609.04,5,6.306144325000001
SPCC663.06c,5,3.1672372249999996
SPBC409.13,5,2.907506825
SPBC359.02,5,1.8169593249999998
SPCC18B5.02c,5,3.1223423250000004
SPBC3F6.03,5,3.020861525
SPCC576.02,5,2.291723975
SPAC513.06c,5,1.64457025
SPCC24B10.20,5,1.569844475
SPCC550.10,5,2.03489755
SPBC16A3.17c,5,2.55021875
SPCC1450.13c,5,1.24400165
SPBC1604.01,5,1.7910059
SPAC1F7.12,5,1.4239743
SPCC18B5.01c,5,2.5379473249999998
SPAC22G7.08,5,1.7277505499999999
SPAC23G3.03,5,1.5395000749999999
SPCC1281.07c,5,1.2576213250000001
SPAC1B3.15c,5,1.52555875
SPAC3C7.14c,5,1.575257475
SPBC1652.01,5,1.4885850749999998
SPBC17D11.03c,5,1.5633271
SPAPB8E5.04c,5,1.32588255
SPBC25D12.04,5,0.9949326175
SPAC29B12.14c,5,2.0555897
SPCC1223.09,5,1.1312741333333334
SPAC30.01c,5,0.9047253124999999
SPAC1B3.06c,5,1.396604375
SPAC3C7.02c,5,1.1345378075
SPBC21B10.12,5,1.2970466
SPAC6G10.03c,5,1.4543717250000001
SPACUNK4.10,5,1.235603925
SPAC222.08c,5,1.5274977
SPAC2E1P3.04,5,1.2439655500000002
SPAC21E11.04,5,1.328799925
SPCC663.07c,5,1.29421035
SPAC9.10,5,1.0920294
SPBC947.06c,5,1.06903989
SPBC1271.05c,5,1.345769875
SPBC725.01,5,0.990444325
SPBC409.12c,5,1.291227925
